over,score,batsmen,bowler,comment,score_converted
17.1,1, Tilak Varma,Harshal Patel ,"Full toss ball, outside off stump, Tilak Varma uncomfortably plays an aggressive lofted on drive on the front foot for a single",
16.6,6, Hardik Pandya,Sam Curran ,"SHORT BALL AND GETS PUNISHED!  short length ball, pitching on leg stump, Hardik Pandya stands firm and clobbers the short ball over mid-wicket for a huge SIX! ",
16.5,0, Hardik Pandya,Sam Curran ,"Full toss ball, on off stump, Hardik Pandya uncomfortably plays an aggressive lofted on drive on the front foot, no run",
16.4,1, Tilak Varma,Sam Curran ,"Yorker ball, pitching on middle stump, Tilak Varma plays an aggressive front foot flick for a single",
16.3,1, Hardik Pandya,Sam Curran ,"Good length ball, pitching on off stump, Hardik Pandya plays an aggressive off drive on the front foot for a single",
16.2,W, Suryakumar Yadav,Sam Curran ,"PRABSIMRAN TAKES A BLINDER    full length ball, pitching wide outside off stump, Suryakumar Yadav reached outside off-stump, resulting in a sliced shot. With a leaping grab at point, Singh plucked the ball out of thin air to dismiss the dangerous SKY. A huge wicket for Punjab Kings!  WICKET Suryakumar Yadav c Prabhsimran Singh b Sam Curran (Mumbai Indians 148 Runs for 3 wickets)",
16.1,0, Suryakumar Yadav,Sam Curran ,"Good length ball, pitching on off stump, Suryakumar Yadav plays a slog shot and is beaten",
15.6,6, Tilak Varma,Kagiso Rabada ,"TV JOINS THE PARTY!  short length ball, pitching on off stump, Tilak Varma gets into a powerful position on his back foot, and unleashes a mighty pull shot. The connection is pure - a satisfying meat-of-the-bat sound as the ball rockets high and handsome over deep backward square leg for a towering SIX!",
15.5,1, Suryakumar Yadav,Kagiso Rabada ,"Good length ball, pitching on off stump, Suryakumar Yadav plays a defensive forward push for a single",
15.4,6, Suryakumar Yadav,Kagiso Rabada ,"PURE SKY MAGIC!  full toss ball, on leg stump, Suryakumar Yadav crouching deep in his crease and spreading his stance like a majestic bird. With a flick of his wrists that would make a magician jealous, he whips the ball high and handsome over long leg for a monstrous SIX",
15.3,4, Suryakumar Yadav,Kagiso Rabada ,"NONCHALANT FROM SKY  good length ball, pitching on leg stump, Suryakumar Yadav created room with a nonchalant shuffle down the leg side. He dipped low under the ball and used his supreme hand-eye coordination to lift it majestically over wide mid-off for a glorious FOUR.",
15.2,0, Suryakumar Yadav,Kagiso Rabada ,"Good length ball, pitching on off stump, Suryakumar Yadav perhaps overeager for another big shot, missed the pull entirely. The ball snuck past his attempted swing and kissed his front pad. A massive appeal erupted from the Punjab Kings, the umpire raised his finger, and a collective gasp resonated through the Mumbai dugout. But SKY, the ever-composed batsman, knew he had a lifeline. A quick review sent shivers down everyone's spine, but replays confirmed it was a NOT OUT",
15.1,1, Tilak Varma,Kagiso Rabada ,"Short length ball, pitching on off stump, Tilak Varma uncomfortably plays an aggressive pull shot on the back foot, 1 leg bye(s) gets added to the extras",
14.6,4, Suryakumar Yadav,Arshdeep Singh ,"TYPICAL SKY!  full length ball, pitching outside off stump, Suryakumar Yadav settles into a perfect position, gets underneath the ball with exquisite timing, and lofts it handsomely over the extra cover region. This time, he connects beautifully, and the ball sails majestically through the air but bounces away to the ropes for FOUR! ",
14.6,1, Suryakumar Yadav,Arshdeep Singh ,"Yorker ball, pitching wide outside off stump, Suryakumar Yadav slices over point, 1 wide(s) gets added to the extras and is beaten",
14.5,1, Tilak Varma,Arshdeep Singh ,"Short length ball, pitching outside off stump, Tilak Varma plays an aggressive pull shot on the back foot for a single",
14.4,4, Tilak Varma,Arshdeep Singh ,"TV KEEPS THE SCOREBOARD TICKING!  yorker ball, pitching on off stump, Tilak Varma creates a scoring opportunity by stepping across the crease. He then unleashes a powerful drive that screams past the fielder at mid-off for four! ",
14.3,4, Tilak Varma,Arshdeep Singh ,"STRAIGHT AS AN ARROW  good length ball, pitching outside off stump, Tilak Varma shuffled back, used a flat bat with surgical precision, and dispatched the ball soaring over the bowler's head for another delightful FOUR.",
14.2,1, Suryakumar Yadav,Arshdeep Singh ,"Yorker ball, pitching wide outside off stump, Suryakumar Yadav uncomfortably slices over point for a single",
14.1,0, Suryakumar Yadav,Arshdeep Singh ,"Good length ball, pitching outside off stump, Suryakumar Yadav plays an aggressive lofted cover drive on the front foot and is beaten",
13.6,1, Suryakumar Yadav,Kagiso Rabada ,"Good length ball, pitching on leg stump, Suryakumar Yadav uncomfortably plays an aggressive lofted on drive on the front foot for a single",
13.5,1, Tilak Varma,Kagiso Rabada ,"Short length ball, pitching on middle stump, Tilak Varma uncomfortably plays an aggressive pull shot on the back foot for a single",
13.4,1, Suryakumar Yadav,Kagiso Rabada ,"Full length ball, pitching outside leg stump, Suryakumar Yadav plays an aggressive on drive on the front foot for a single",
13.3,1, Tilak Varma,Kagiso Rabada ,"Short length ball, pitching on off stump, Tilak Varma plays an aggressive pull shot on the back foot for a single",
13.2,1, Suryakumar Yadav,Kagiso Rabada ,"Good length ball, pitching outside off stump, Suryakumar Yadav plays a defensive forward push for a single",
13.1,1, Tilak Varma,Kagiso Rabada ,"Good length ball, pitching outside off stump, Tilak Varma plays a defensive forward push for a single",
12.6,1, Tilak Varma,Harpreet Brar ,"Good length ball, pitching outside off stump, Tilak Varma plays an aggressive cut shot for a single",
12.5,2, Tilak Varma,Harpreet Brar ,"Good length ball, pitching on off stump, Tilak Varma plays an aggressive on drive off the back foot for 2 runs",
12.4,1, Suryakumar Yadav,Harpreet Brar ,"Good length ball, pitching outside off stump, Suryakumar Yadav plays an aggressive cover drive on the front foot for a single",
12.3,2, Suryakumar Yadav,Harpreet Brar ,"Good length ball, pitching on off stump, Suryakumar Yadav plays an aggressive on drive off the back foot for 2 runs",
12.2,1, Tilak Varma,Harpreet Brar ,"Good length ball, pitching on off stump, Tilak Varma plays an aggressive off drive on the back foot for a single",
12.1,1, Suryakumar Yadav,Harpreet Brar ,"Full length ball, pitching on off stump, Suryakumar Yadav plays an aggressive off drive on the front foot for a single",
11.6,1, Suryakumar Yadav,Sam Curran ,"Good length ball, pitching outside leg stump, Suryakumar Yadav plays an aggressive on drive off the back foot for a single",
11.5,1, Tilak Varma,Sam Curran ,"Good length ball, pitching outside off stump, Tilak Varma leg glances it for a single",
11.4,W, Rohit Sharma,Sam Curran ,"HITMAN FALLS AND PBKS FINALLY BREAK THE PARTNERSHIP  full length ball, pitching outside off stump, Rohit Sharma steps down attempting to loft it over the infield, lunged down the track. However, the slower pace deceived him, and he made an awkward connection with the ball. The outside edge flew towards backward point, where Harpreet Brar showcased a sensational diving catch to send the Hitman back to the pavilion.   WICKET Rohit Sharma c Harpreet Brar b Sam Curran (Mumbai Indians 99 Runs for 2 wickets)",
11.3,0, Rohit Sharma,Sam Curran ,"Full length ball, pitching on off stump, Rohit Sharma uncomfortably plays a sweep shot, no run",
11.2,1, Suryakumar Yadav,Sam Curran ,"Good length ball, pitching on off stump, Suryakumar Yadav plays an aggressive on drive on the front foot for a single",
11.1,2, Suryakumar Yadav,Sam Curran ,"SKIPPER BACK WITH THE BALL good length ball, pitching outside leg stump, Suryakumar Yadav plays an aggressive on drive off the back foot for 2 runs",
10.6,1, Suryakumar Yadav,Harshal Patel ,"Full length ball, pitching outside off stump, Suryakumar Yadav plays a defensive forward push for a single",
10.5,1, Rohit Sharma,Harshal Patel ,"Good length ball, pitching outside off stump, Rohit Sharma plays an aggressive on drive on the front foot for a single",
10.4,6, Rohit Sharma,Harshal Patel ,"HIGH IN THE AIR AND GOES FOR SIX!   full length ball, pitching on off stump, Rohit Sharma plays an aggressive lofted straight shot on the front foot, but the connection isn't as perfect as you would like. Still, the power will do the rest, it sails past the ropes for a maximum. ANOTHER DAY ANOTHER RECORD FOR THE HITMAN, Surpasses Lord Polly (223)  for the most sixes for MI in IPL ",
10.4,1, Rohit Sharma,Harshal Patel ,"Short length ball, pitching wide outside off stump, Rohit Sharma offers no shot, 1 wide(s) gets added to the extras",
10.3,0, Rohit Sharma,Harshal Patel ,"Full length ball, pitching on leg stump, Rohit Sharma plays a defensive forward push, no run",
10.2,1, Suryakumar Yadav,Harshal Patel ,"Short length ball, pitching outside off stump, Suryakumar Yadav plays an aggressive pull shot on the back foot for a single and BRINGS UP HIS HALF-TON ",
10.1,0, Suryakumar Yadav,Harshal Patel ,"Short length ball, pitching outside off stump, Suryakumar Yadav uncomfortably plays an aggressive pull shot on the back foot, no run",
9.6,1, Suryakumar Yadav,Liam Livingstone ,"Good length ball, pitching on off stump, Suryakumar Yadav plays an aggressive on drive off the back foot for a single",
9.5,0, Suryakumar Yadav,Liam Livingstone ,"Full length ball, pitching outside off stump, Suryakumar Yadav plays a defensive forward push, no run",
9.4,6, Suryakumar Yadav,Liam Livingstone ,"MILESTONE ALERT SKY COMPLETES 300   IN T20s full length ball, pitching on off stump, Suryakumar Yadav down the track with the grace of a matador, perfectly timing the ball with a powerful loft inside-out over deep extra cover. The satisfying thud of the ball hitting the ropes confirmed a massive SIX!",
9.3,1, Rohit Sharma,Liam Livingstone ,"Full length ball, pitching on leg stump, Rohit Sharma plays a defensive forward push for a single",
9.2,0, Rohit Sharma,Liam Livingstone ,"Good length ball, pitching outside off stump, Rohit Sharma plays a defensive forward push, no run",
9.1,1, Suryakumar Yadav,Liam Livingstone ,"SPIN RE-INTRODUCED INTO THE ATTACK full length ball, pitching on leg stump, Suryakumar Yadav plays an aggressive on drive on the front foot for a single",
8.6,1, Suryakumar Yadav,Harpreet Brar ,"Good length ball, pitching outside off stump, Suryakumar Yadav plays an aggressive on drive off the back foot for a single",
8.5,4, Suryakumar Yadav,Harpreet Brar ,"SKY! ON FIRE NOW  full length ball, pitching on off stump, Suryakumar Yadav drops down to one knee, he contorted his body with incredible flexibility and whipped his wrists, sweeping the ball hard behind square leg for a dismissive FOUR!",
8.4,0, Suryakumar Yadav,Harpreet Brar ,"Full length ball, pitching outside off stump, Suryakumar Yadav uncomfortably plays a sweep shot, no run, Appeal from the fielding side",
8.3,1, Rohit Sharma,Harpreet Brar ,"Good length ball, pitching outside off stump, Rohit Sharma plays a defensive forward push for a single HITMAN COMPLETES 6500 RUN IN IPL. WHAT A PLAYER  ",
8.2,1, Suryakumar Yadav,Harpreet Brar ,"Full length ball, pitching outside off stump, Suryakumar Yadav plays an aggressive cover drive on the front foot for a single",
8.1,2, Suryakumar Yadav,Harpreet Brar ,"Full length ball, pitching outside off stump, Suryakumar Yadav plays a sweep shot for 2 runs",
7.6,1, Suryakumar Yadav,Kagiso Rabada ,"Full toss ball, on off stump, Suryakumar Yadav plays an aggressive on drive on the front foot for a single",
7.5,6, Suryakumar Yadav,Kagiso Rabada ,"THAT'A SKY SCRAPPER  good length ball, pitching on off stump, Suryakumar Yadav, expertly positioning himself under the ball. With a lightning-fast flick of his wrists, launching the ball high and clear over the fine-leg boundary for a maximum",
7.4,0, Suryakumar Yadav,Kagiso Rabada ,"Full length ball, pitching outside off stump, Suryakumar Yadav plays an aggressive off drive on the front foot, straight to the fielder",
7.3,2, Suryakumar Yadav,Kagiso Rabada ,"Good length ball, pitching outside off stump, Suryakumar Yadav uncomfortably plays a defensive shot on back foot for 2 runs",
7.2,1, Rohit Sharma,Kagiso Rabada ,"Full length ball, pitching on middle stump, Rohit Sharma plays an aggressive on drive on the front foot for a single",
7.1,0, Rohit Sharma,Kagiso Rabada ,"Good length ball, pitching on off stump, Rohit Sharma uncomfortably leg glances it, no run",
6.6,0, Suryakumar Yadav,Harpreet Brar ,"Good length ball, pitching outside off stump, Suryakumar Yadav plays a sweep shot, straight to the fielder",
6.5,1, Rohit Sharma,Harpreet Brar ,"Good length ball, pitching on leg stump, Rohit Sharma leg glances it for a single",
6.4,1, Suryakumar Yadav,Harpreet Brar ,"Good length ball, pitching on off stump, Suryakumar Yadav plays a defensive back foot push for a single",
6.3,1, Rohit Sharma,Harpreet Brar ,"Full length ball, pitching outside off stump, Rohit Sharma plays a sweep shot for a single",
6.2,1, Suryakumar Yadav,Harpreet Brar ,"Good length ball, pitching on off stump, Suryakumar Yadav plays a sweep shot for a single",
6.1,0, Suryakumar Yadav,Harpreet Brar ,"Full length ball, pitching on off stump, Suryakumar Yadav plays a defensive forward push, no run",
5.6,6, Rohit Sharma,Sam Curran ,"VINTAGE HITMAN    full length ball, pitching outside leg stump at 83 Kmph, Rohit Sharma with impeccable timing, lofts the slower ball magnificently over the bowler’s head, sending the ball sailing for a splendid six.",
5.5,1, Suryakumar Yadav,Sam Curran ,"Good length ball, pitching outside leg stump, Suryakumar Yadav plays an aggressive on drive off the back foot for a single",
5.4,0, Suryakumar Yadav,Sam Curran ,"Good length ball, pitching outside leg stump, Suryakumar Yadav uncomfortably plays an aggressive front foot flick, no run, Appeal from the fielding side",
5.3,0, Suryakumar Yadav,Sam Curran ,"Good length ball, pitching on leg stump, Suryakumar Yadav plays a defensive shot on back foot, no run",
5.2,4, Suryakumar Yadav,Sam Curran ,"STYLISH FROM SKY   short length ball, pitching on middle stump, Suryakumar Yadav hops and executes a flawless upper cut, lofting the ball over short third man. The ball sails clear of the infield, landing safely beyond the boundary for a well-placed four.",
5.1,0, Suryakumar Yadav,Sam Curran ,"SKIPPER WITH THE BALL  good length ball, pitching outside leg stump, Suryakumar Yadav plays a defensive forward push, no run",
4.6,1, Suryakumar Yadav,Harshal Patel ,"Good length ball, pitching outside off stump, Suryakumar Yadav plays a defensive forward push for a single",
4.5,1, Rohit Sharma,Harshal Patel ,"Good length ball, pitching outside off stump, Rohit Sharma plays a defensive forward push for a single",
4.4,0, Rohit Sharma,Harshal Patel ,"WICKETS MISSING! HITMAN STAYS  yorker ball, pitching on leg stump, Rohit Sharma uncomfortably plays an aggressive front foot flick, struck on the boot by a cunning slower off-cutter, The umpire's decision goes against him, but Rohit challenges the call. The initial checks confirm no contact with the bat, and as tension builds, ball-tracking reveals the ball would have missed the stumps. The decision is overturned, allowing Rohit to breathe a sigh of relief and stay at the crease.",
4.3,0, Rohit Sharma,Harshal Patel ,"Good length ball, pitching outside off stump, Rohit Sharma uncomfortably plays an aggressive lofted off drive on the front foot, no run",
4.2,1, Suryakumar Yadav,Harshal Patel ,"Good length ball, pitching outside off stump, Suryakumar Yadav plays an aggressive front foot flick for a single",
4.1,4, Suryakumar Yadav,Harshal Patel ,"CRISP FROM SKY  full length ball, pitching on leg stump, Suryakumar Yadav stylishly flicks it past mid-on's right, sending the ball racing to the boundary.",
3.6,0, Rohit Sharma,Arshdeep Singh ,"Short of good length ball, pitching on off stump, Rohit Sharma plays a defensive back foot push, no run",
3.5,1, Suryakumar Yadav,Arshdeep Singh ,"Good length ball, pitching outside leg stump, Suryakumar Yadav uncomfortably plays an aggressive front foot flick for a single",
3.4,1, Rohit Sharma,Arshdeep Singh ,"Good length ball, pitching outside leg stump, Rohit Sharma uncomfortably leg glances it for a single",
3.3,6, Rohit Sharma,Arshdeep Singh ," THE MOMENT IT LEFT THE BAT short of good length ball, pitching on leg stump, Rohit Sharma holds his ground, masterfully gets underneath, and dispatches it with a robust pull to deep mid-wicket. The connection is perfect,and the the ball flies beyond the ropes",
3.2,0, Rohit Sharma,Arshdeep Singh ,"Short length ball, pitching outside leg stump, Rohit Sharma plays an aggressive cut shot and is beaten",
3.1,1, Suryakumar Yadav,Arshdeep Singh ,"Good length ball, pitching on off stump, Suryakumar Yadav plays a defensive forward push for a single",
2.6,1, Suryakumar Yadav,Kagiso Rabada ,"Good length ball, pitching outside off stump, Suryakumar Yadav plays an aggressive front foot flick for a single",
2.5,4, Suryakumar Yadav,Kagiso Rabada ,"MAKES IT   short of good length ball, pitching outside off stump, Suryakumar Yadav imply opens the bat face and guides the ball with exquisite touch past the diving short-third fielder for another FOUR!",
2.4,4, Suryakumar Yadav,Kagiso Rabada ,"FLICKED AWAY FOR   good length ball, pitching on off stump, Suryakumar Yadav capitalized on the opportunity with a powerful flick over mid-wicket, sending the ball soaring over the ropes for a commanding FOUR.",
2.3,0, Suryakumar Yadav,Kagiso Rabada ,"Good length ball, pitching outside off stump, Suryakumar Yadav plays a forward defensive shot, no run",
2.2,0, Suryakumar Yadav,Kagiso Rabada ,"Good length ball, pitching outside off stump, Suryakumar Yadav uncomfortably plays an aggressive cover drive on the front foot, no run",
2.1,W, Ishan Kishan,Kagiso Rabada ,"WICKET NO.250 FOR THE PROTEAN PACER IN T20s  short of good length ball, pitching outside off stump, Ishan Kishan went for a flashy cut shot. But he didn't connect cleanly, the ball ballooning high in the air. Harpreet Brar, stationed perfectly at backward point, kept his eyes on the prize and completes an easy catch.  WICKET Ishan Kishan c Harpreet Brar b Kagiso Rabada (Mumbai Indians 18 Runs for 1 wickets)",
1.6,0, Rohit Sharma,Arshdeep Singh ,"Full length ball, pitching on off stump, Rohit Sharma plays a forward defensive shot and is beaten",
1.5,4, Rohit Sharma,Arshdeep Singh ,"WRISTY WIZARDRY FROM THE HITMAN  full length ball, pitching on off stump, Rohit Sharma settled into a perfect position, used his wrists like a maestro's baton, and flicked the ball with exquisite timing through mid-on for a delightful FOUR!",
1.4,1, Ishan Kishan,Arshdeep Singh ,"Good length ball, pitching wide outside off stump, Ishan Kishan plays an aggressive cut shot for a single",
1.3,4, Ishan Kishan,Arshdeep Singh ,"CHEEKY BUT ISHAN WILL TAKE IT   good length ball, pitching wide outside off stump, Ishan Kishan went for a flamboyant cut, but ends up turning the face of the bat slicing it over backward point for four! ",
1.2,1, Rohit Sharma,Arshdeep Singh ,"Good length ball, pitching on off stump, Rohit Sharma leg glances it for a single",
1.1,1, Ishan Kishan,Arshdeep Singh ,"PACE FROM THE OTHER END  good length ball, pitching outside off stump, Ishan Kishan plays an aggressive cover drive on the back foot for a single",
0.6,4, Rohit Sharma,Liam Livingstone ,"1st   FOR THE HITMAN IN HIS 250th  full length ball, pitching outside off stump, Rohit Sharma leaned forward confidently and unleashed a powerful drive. The diving cover fielder gave it a valiant chase, but the ball had too much power on it, racing away for four! ",
0.5,1, Ishan Kishan,Liam Livingstone ,"Good length ball, pitching outside off stump, Ishan Kishan plays an aggressive pull shot on the back foot for a single and gets OFF THE MARK  ",
0.4,0, Ishan Kishan,Liam Livingstone ,"Good length ball, pitching outside off stump, Ishan Kishan plays a defensive back foot push, no run",
0.3,1, Rohit Sharma,Liam Livingstone ,"Good length ball, pitching on off stump, Rohit Sharma leg glances it for a single and gets OFF THE MARK  ",
0.2,1, Ishan Kishan,Liam Livingstone ,"Good length ball, pitching outside off stump, Ishan Kishan plays an aggressive on drive off the back foot for a single",
0.1,0, Ishan Kishan,Liam Livingstone ,"LIAM LIVINGSTONE TO START THE PROCEEDINGS  full length ball, pitching wide outside off stump, Ishan Kishan offers no shot",
19.1,1, Kagiso Rabada,Akash Madhwal ,"WHO IS THE WINNER? CRICKET IS THE WINNER! full length ball, pitching wide outside off stump, Kagiso Rabada slices the ball to deep cover point and rushes for a single, but a swift throw from Nabi finds Kishan, who breaks the stumps with Rabada stretching. The replays confirm Rabada is short of his ground. Agony for PBKS as MI clinch a thrilling victory! Emotions run high in the stadium as MI celebrates their first away win in IPL 2024!  WICKET Kagiso Rabada run out Mohammad Nabi (Punjab Kings 183 Runs for 10 wickets)",
19.1,1, Kagiso Rabada,Akash Madhwal ,"Full length ball, pitching wide outside off stump, Kagiso Rabada offers no shot, 1 wide(s) gets added to the extras. ONLY 11 NEEDED NOW, IN THE LAST OVER!",
18.6,1, Kagiso Rabada,Hardik Pandya ,"Full length ball, pitching outside leg stump, Kagiso Rabada plays an aggressive on drive on the front foot for a single. He keeps the strike! 12 needed off the last over! WHAT A GAME!",
18.5,6, Kagiso Rabada,Hardik Pandya ,"HE DID IT WITH THE BALL! HE IS DOING IT WITH THE BAT!  short length ball, pitching outside leg stump, stepping to the crease, Rabada wastes no time, nailing his first delivery for a massive six! The ball, short of length at his body, meets his powerful swing, sending it soaring over deep backward square. What an entrance and what a statement! 13 NEEDED OFF 7!",
18.4,W, Harpreet Brar,Hardik Pandya ,"SET BATTER GONE! ONLY 1 WICKET LEFT! good length ball, pitching on off stump, attempting a pickup shot, Brar moves across but mistimes it, sending a lofted ball towards deep backward square leg. Nabi positions himself perfectly to take a safe and crucial catch. A significant moment as another wicket falls! 19 NEEDED OFF 8!  WICKET Harpreet Brar c Mohammad Nabi b Hardik Pandya (Punjab Kings 174 Runs for 9 wickets)",
18.3,2, Harpreet Brar,Hardik Pandya ,"Full length ball, pitching outside leg stump, Harpreet Brar uncomfortably slices over point for 2 runs! 19 needed off 9!",
18.2,0, Harpreet Brar,Hardik Pandya ,"Full length ball, pitching outside leg stump, Harpreet Brar shifts inside the line aiming for a flick but misses, prompting a loud appeal for a wide. PBKS challenges the decision, but the review upholds the on-field call, citing Brar's movement. Controversial Call!",
18.1,2, Harpreet Brar,Hardik Pandya ,"Good length ball, pitching outside leg stump, Harpreet Brar plays a defensive forward push for 2 runs. Excellent running! 21 needed off 11!",
17.6,0, Harshal Patel,Gerald Coetzee ,"Short length ball, pitching outside off stump, Harshal Patel plays an upper cut and is beaten",
17.5,0, Harshal Patel,Gerald Coetzee ,"Short length ball, pitching outside off stump, Harshal Patel plays an upper cut and is beaten",
17.4,0, Harshal Patel,Gerald Coetzee ,"Short length ball, pitching outside off stump, Harshal Patel plays an aggressive cut shot and is beaten",
17.3,1, Harpreet Brar,Gerald Coetzee ,"Short of good length ball, pitching outside off stump, Harpreet Brar uncomfortably plays an aggressive pull shot on the back foot, 1 leg bye(s) gets added to the extras",
17.2,1, Harshal Patel,Gerald Coetzee ,"Good length ball, pitching outside off stump, Harshal Patel plays an aggressive cover drive on the front foot for a single",
17.1,W, Ashutosh Sharma,Gerald Coetzee ,"IS THERE ANOTHER TWIST IN THE TALE?  short length ball, pitching outside off stump, Ashutosh Sharma, on the back foot, swings for the fences but can't quite time it, sending the ball straight to Nabi at deep mid-wicket who secures a fine catch. Despite the dismissal, Ashutosh walks off to a standing ovation from the home crowd, acknowledging his game-changing innings. Gerald Coetzee is visibly thrilled with the wicket.  WICKET Ashutosh Sharma c Mohammad Nabi b Gerald Coetzee (Punjab Kings 168 Runs for 8 wickets)",
16.6,0, Harpreet Brar,Jasprit Bumrah ,"Short length ball, pitching outside off stump, Harpreet Brar plays a defensive shot on back foot, no run. END OF AN EXCELLENT SPELL! 25 needed off 18!",
16.5,0, Harpreet Brar,Jasprit Bumrah ,"Short length ball, pitching outside off stump, Harpreet Brar plays an aggressive cut shot and is beaten",
16.4,0, Harpreet Brar,Jasprit Bumrah ,"Short length ball, pitching outside off stump, Harpreet Brar offers no shot",
16.3,1, Ashutosh Sharma,Jasprit Bumrah ,"Short length ball, pitching outside off stump, Ashutosh Sharma plays an upper cut for a single",
16.2,1, Harpreet Brar,Jasprit Bumrah ,"Short length ball, pitching outside off stump, Harpreet Brar uncomfortably plays no shot for a single",
16.1,1, Ashutosh Sharma,Jasprit Bumrah ,"Full length ball, pitching outside off stump, Ashutosh Sharma plays a defensive forward push for a single",
15.6,6, Harpreet Brar,Akash Madhwal ,"WHAT A WAY TO BRING UP  PARTNERSHIP! full length ball, pitching outside off stump, ball right in the slot, Harpreet Brar gets low, uses his front foot superbly, and launches it straight over the bowler's head for a massive six. What a turnaround! Just moments ago the game seemed out of reach, but now PBKS is within striking distance, needing just 28 off the last four overs. The excitement builds!",
15.5,1, Ashutosh Sharma,Akash Madhwal ,"Good length ball, pitching outside off stump, Ashutosh Sharma uncomfortably plays a slog shot, 1 leg bye(s) gets added to the extras",
