,over,score,batsmen,bowler,comment
32,14.2,1, Rajat Patidar,Yuzvendra Chahal ,"Good length ball, pitching outside off stump, Rajat Patidar plays an aggressive off drive on the front foot for a single"
33,14.1,0, Rajat Patidar,Yuzvendra Chahal ,"Full length ball, pitching outside off stump, Rajat Patidar uncomfortably plays an aggressive off drive on the front foot, no run"
34,13.5,0, Glenn Maxwell,Trent Boult ,"Short of good length ball, pitching outside leg stump, Glenn Maxwell plays an aggressive cut shot and is beaten"
35,13.4,0, Glenn Maxwell,Trent Boult ,"Short of good length ball, pitching on off stump, Glenn Maxwell plays a reverse sweep and is beaten"
36,13.3,0, Glenn Maxwell,Trent Boult ,"Full length ball, pitching outside off stump, Glenn Maxwell plays an aggressive cover drive on the front foot, straight to the fielder"
37,13.2,1, Rajat Patidar,Trent Boult ,"Good length ball, pitching on leg stump, Rajat Patidar plays an aggressive front foot flick for a single"
38,13.1,3, Glenn Maxwell,Trent Boult ,"Short of good length ball, pitching on leg stump, Glenn Maxwell cuts this ball finely in the gap for a four! Hetmyer covers the half ground and pulls this ball inside at the last moment and saves a run for his team!"
39,12.6,1, Glenn Maxwell,Yuzvendra Chahal ,"Short of good length ball, pitching on off stump, Glenn Maxwell plays an aggressive on drive off the back foot for a single"
40,12.5,4, Glenn Maxwell, Yuzvendra Chahal ,"Full length ball, pitching outside off stump, Glenn Maxwell reverses his guard and sweeps the ball over the short third man fielder!"
41,12.4,1, Rajat Patidar,Yuzvendra Chahal ,"Full length ball, pitching outside off stump, Rajat Patidar plays a slog sweep for a single"
42,12.4,1, Rajat Patidar,Yuzvendra Chahal ,"Good length ball, pitching outside off stump, Rajat Patidar offers no shot, 1 wide(s) gets added to the extras"
43,12.3,1, Glenn Maxwell,Yuzvendra Chahal ,"Short of good length ball, pitching on off stump, Glenn Maxwell plays an aggressive on drive off the back foot for a single"
44,12.2,6, Glenn Maxwell,Yuzvendra Chahal ,"Short of good length ball, pitching on off stump, Glenn Maxwell gets enough length to heave this ball comfortably! The ball goes for a six from the leaping deep mid-wicket fielder's hands!"
45,12.1,1, Rajat Patidar,Yuzvendra Chahal ,"Good length ball, pitching on leg stump, Rajat Patidar plays an aggressive off drive on the front foot for a single"
46,11.6,1, Rajat Patidar,Ravichandran Ashwin ,"Short of good length ball, pitching on off stump, Rajat Patidar plays an aggressive cover drive on the back foot for a single"
47,11.5,1, Glenn Maxwell,Ravichandran Ashwin ,"Good length ball, pitching on leg stump, Glenn Maxwell plays an aggressive on drive on the front foot for a single"
48,11.4,1, Rajat Patidar,Ravichandran Ashwin ,"Good length ball, pitching on off stump, Rajat Patidar plays a defensive back foot push for a single"
49,11.3,1, Glenn Maxwell,Ravichandran Ashwin ,"Good length ball, pitching outside leg stump, Glenn Maxwell plays an aggressive on drive off the back foot for a single"
50,11.1,1, Rajat Patidar,Ravichandran Ashwin ,"Good length ball, pitching on off stump, Rajat Patidar plays a defensive forward push for a single"
51,10.6,1, Rajat Patidar,Obed McCoy ,"Full toss ball, outside leg stump, Rajat Patidar plays an aggressive on drive on the front foot for a single"
52,10.5,1, Glenn Maxwell,Obed McCoy ,"Short length ball, pitching outside leg stump, Glenn Maxwell uncomfortably leg glances it for a single"
53,10.3,0, Faf Du Plessis,Obed McCoy ,"Good length ball, pitching outside off stump, Faf Du Plessis plays an aggressive lofted off drive on the front foot and is beaten"
54,10.2,1, Rajat Patidar,Obed McCoy ,"Good length ball, pitching on leg stump, Rajat Patidar plays an aggressive front foot flick for a single"
55,10.1,4, Rajat Patidar, Obed McCoy ,"Short of good length ball, pitching on leg stump, Rajat Patidar gets cramped for the room and he gets the top edge for the pull! It then flies past the short third man fielder!"
56,9.6,1, Rajat Patidar,Ravichandran Ashwin ,"Good length ball, pitching on off stump, Rajat Patidar plays an aggressive lofted on drive on the front foot for a single"
57,9.5,1, Faf Du Plessis,Ravichandran Ashwin ,"Good length ball, pitching on middle stump, Faf Du Plessis plays an aggressive on drive on the front foot for a single"
58,9.4,1, Rajat Patidar,Ravichandran Ashwin ,"Short of good length ball, pitching on off stump, Rajat Patidar plays an aggressive pull shot on the back foot for a single"
59,9.3,0, Rajat Patidar,Ravichandran Ashwin ,"Good length ball, pitching on leg stump, Rajat Patidar misses the sweep and gets this ball on his pads! LBW appeal from the fielding side and the bowler convinces to go for the review as the umpire says no! The impact is umpire's call and NOT OUT it is!"
60,9.2,0, Rajat Patidar,Ravichandran Ashwin ,"Short of good length ball, pitching outside off stump, Rajat Patidar plays an aggressive cut shot, straight to the fielder"
61,9.1,2, Rajat Patidar,Ravichandran Ashwin ,"Good length ball, pitching on middle stump, Rajat Patidar plays a defensive back foot push for 2 runs"
62,8.6,1, Rajat Patidar,Yuzvendra Chahal ,"Short of good length ball, pitching outside off stump, Rajat Patidar plays an aggressive on drive on the front foot for a single"
63,8.6,1, Rajat Patidar,Yuzvendra Chahal ,"Good length ball, pitching outside off stump, Rajat Patidar offers no shot, 1 wide(s) gets added to the extras"
64,8.5,1, Faf Du Plessis,Yuzvendra Chahal ,"Good length ball, pitching on off stump, Faf Du Plessis plays a defensive forward push for a single"
65,8.4,1, Rajat Patidar,Yuzvendra Chahal ,"Good length ball, pitching on off stump, Rajat Patidar plays an aggressive on drive on the front foot for a single"
66,8.3,6, Rajat Patidar, Yuzvendra Chahal ,"Good length ball, pitching on off stump, Rajat Patidar clears his front leg and the ball is smashed away into the stands of long-on!"
67,8.2,1, Faf Du Plessis,Yuzvendra Chahal ,"Good length ball, pitching outside off stump, Faf Du Plessis plays an aggressive lofted off drive on the front foot for a single"
68,8.1,0, Faf Du Plessis,Yuzvendra Chahal ,"Full length ball, pitching on leg stump, Faf Du Plessis plays an aggressive cover drive on the front foot, straight to the fielder"
69,7.6,1, Faf Du Plessis,Ravichandran Ashwin ,"Good length ball, pitching on off stump, Faf Du Plessis plays an aggressive on drive on the front foot for a single"
70,7.5,0, Faf Du Plessis,Ravichandran Ashwin ,"Full length ball, pitching outside off stump, Faf Du Plessis plays an aggressive off drive on the front foot and is beaten"
71,7.4,1, Rajat Patidar,Ravichandran Ashwin ,"Short of good length ball, pitching on off stump, Rajat Patidar plays an aggressive on drive off the back foot for a single"
72,7.4,1, Rajat Patidar,Ravichandran Ashwin ,"Good length ball, pitching outside leg stump, Rajat Patidar offers no shot, 1 wide(s) gets added to the extras"
73,7.3,1, Faf Du Plessis,Ravichandran Ashwin ,"Short of good length ball, pitching outside off stump, Faf Du Plessis plays an aggressive on drive off the back foot for a single"
74,7.2,1, Rajat Patidar,Ravichandran Ashwin ,"Good length ball, pitching outside off stump, Rajat Patidar plays an aggressive off drive on the front foot for a single"
75,7.1,1, Faf Du Plessis,Ravichandran Ashwin ,"Good length ball, pitching outside off stump, Faf Du Plessis plays an aggressive on drive off the back foot for a single"
76,6.6,1, Faf Du Plessis,Obed McCoy ,"Good length ball, pitching on leg stump, Faf Du Plessis plays an aggressive front foot flick for a single"
77,6.5,1, Rajat Patidar,Obed McCoy ,"Good length ball, pitching outside off stump, Rajat Patidar plays an aggressive off drive on the front foot for a single"
78,6.4,1, Faf Du Plessis,Obed McCoy ,"Good length ball, pitching on off stump, Faf Du Plessis plays a forward defensive shot for a single"
79,6.3,1, Rajat Patidar,Obed McCoy ,"Short of good length ball, pitching outside leg stump, Rajat Patidar plays an aggressive front foot flick for a single"
80,6.2,0, Rajat Patidar,Obed McCoy ,"Good length ball, pitching outside off stump, Rajat Patidar uncomfortably plays an aggressive off drive on the back foot, no run"
81,6.1,2, Rajat Patidar,Obed McCoy ,"Short of good length ball, pitching on off stump, Rajat Patidar plays an aggressive cut shot for 2 runs"
82,5.6,0, Faf Du Plessis,Prasidh Krishna ,"Short of good length ball, pitching outside off stump, Faf Du Plessis plays a defensive back foot push, no run"
83,5.4,4, Rajat Patidar, Prasidh Krishna ,"Short of good length ball, pitching outside off stump, Rajat Patidar hops and punches this ball elegantly through covers!"
84,5.3,4, Rajat Patidar,Prasidh Krishna ,"Short of good length ball, pitching outside off stump, Rajat Patidar slashes the ball towards point and gets a four!"
85,5.2,0, Rajat Patidar,Prasidh Krishna ,"Short of good length ball, pitching outside off stump, Rajat Patidar plays a defensive back foot push, no run"
86,5.1,0, Rajat Patidar,Prasidh Krishna ,"Short length ball, pitching outside off stump, Rajat Patidar plays an upper cut and is beaten"
87,4.6,4, Faf Du Plessis, Trent Boult ,"Good length ball, pitching outside off stump, Faf Du Plessis slaps this ball hard and past the covers fielder and ends the over with a four!"
88,4.5,0, Faf Du Plessis,Trent Boult ,"Good length ball, pitching on off stump, Faf Du Plessis uncomfortably plays a defensive forward push, no run"
89,4.4,4, Faf Du Plessis,Trent Boult ,"Short of good length ball, pitching outside leg stump, Faf Du Plessis gets cramped for the ball bowled to his hips! He tries to pull it and ends up gloving it! The ball brushes the gloves of the keeper and runs past him for four!"
90,4.3,2, Faf Du Plessis,Trent Boult ,"Good length ball, pitching outside leg stump, Faf Du Plessis plays an aggressive front foot flick for 2 runs"
91,4.2,1, Rajat Patidar,Trent Boult ,"Good length ball, pitching on off stump, Rajat Patidar glides it for a single"
92,4.1,1, Faf Du Plessis,Trent Boult ,"Good length ball, pitching outside off stump, Faf Du Plessis aggressively plays a square drive on the front foot for a single"
93,3.6,0, Rajat Patidar,Prasidh Krishna ,"Good length ball, pitching outside off stump, Rajat Patidar plays an aggressive off drive on the front foot, straight to the fielder"
94,3.5,0, Rajat Patidar,Prasidh Krishna ,"Good length ball, pitching outside off stump, Rajat Patidar plays a forward defensive shot, no run"
95,3.4,0, Rajat Patidar,Prasidh Krishna ,"Short of good length ball, pitching outside off stump, Rajat Patidar offers no shot"
96,3.3,4, Rajat Patidar, Prasidh Krishna ,"Good length ball, pitching outside off stump, The ball swings in late and Rajat Patidar gets completely deceived to the ball and the keeper couldn't reach to it! 4 bye(s)!!"
97,3.2,0, Rajat Patidar,Prasidh Krishna ,"Good length ball, pitching outside off stump, Rajat Patidar plays a forward defensive shot, no run"
98,3.1,4, Rajat Patidar, Prasidh Krishna ,"Short of good length ball, pitching outside off stump, Rajat Patidar gets the top edge for the cut and it flies past the slip fielder!"
99,2.6,0, Faf Du Plessis,Trent Boult ,"Full length ball, pitching on leg stump, Faf Du Plessis plays a forward defensive shot, no run"
100,2.5,0, Faf Du Plessis,Trent Boult ,"Good length ball, pitching on off stump, Faf Du Plessis plays an aggressive off drive on the front foot, straight to the fielder"
101,2.4,4, Faf Du Plessis, Trent Boult ,"Full length ball, pitching outside off stump, Faf Du Plessis puts his foot forward and lifts this ball over covers for a four!"
102,2.3,0, Faf Du Plessis,Trent Boult ,"Good length ball, pitching outside off stump, Faf Du Plessis plays an aggressive cover drive on the front foot, straight to the fielder"
103,2.2,0, Faf Du Plessis,Trent Boult ,"Good length ball, pitching on off stump, Faf Du Plessis uncomfortably plays a forward defensive shot, no run"
104,2.1,0, Faf Du Plessis,Trent Boult ,"Good length ball, pitching on off stump, Faf Du Plessis plays a forward defensive shot, no run"
105,1.6,4, Rajat Patidar,Prasidh Krishna ,"Good length ball, pitching on middle stump, Rajat Patidar gets the angling down delivery on the thigh pads and it runs past the keeper for 4 leg bye(s)!"
106,1.4,0, Virat Kohli,Prasidh Krishna ,"Good length ball, pitching outside off stump, Virat Kohli uncomfortably plays a forward defensive shot, no run"
107,1.3,0, Virat Kohli,Prasidh Krishna ,"Good length ball, pitching outside off stump, Virat Kohli offers no shot"
108,1.2,1, Faf Du Plessis,Prasidh Krishna ,"Short of good length ball, pitching outside off stump, Faf Du Plessis leg glances it for a single"
109,0.6,6, Virat Kohli, Trent Boult ,"Good length ball, pitching on middle stump, Virat Kohli charges down the track and flicks this ball in style for a maximum!"
110,0.5,0, Virat Kohli,Trent Boult ,"Good length ball, pitching on middle stump, Virat Kohli plays a forward defensive shot, no run"
111,0.4,0, Virat Kohli,Trent Boult ,"Good length ball, pitching outside off stump, Virat Kohli offers no shot"
112,0.3,1, Faf Du Plessis,Trent Boult ,"Short of good length ball, pitching outside leg stump, Faf Du Plessis leg glances it for a single"
113,0.2,1, Virat Kohli, Trent Boult ,"Short of good length ball, pitching on leg stump, Virat Kohli leg glances it and this is a wonderful save from Buttler!  "
114,18.1,6, Jos Buttler, Harshal Patel ,"Short of good length ball, pitching outside off stump, Jos Buttler stands tall and finishes off the innings with a six over deep mid-wicket!"
115,17.5,2, Jos Buttler,Glenn Maxwell ,"Full length ball, pitching outside off stump, Jos Buttler plays an aggressive lofted on drive on the front foot for 2 runs"
116,17.4,1, Shimron Hetmyer,Glenn Maxwell ,"Good length ball, pitching outside off stump, Shimron Hetmyer plays a defensive back foot push for a single"
117,17.3,1, Jos Buttler,Glenn Maxwell ,"Good length ball, pitching on off stump, Jos Buttler plays a defensive back foot push for a single"
118,17.2,1, Shimron Hetmyer,Glenn Maxwell ,"Full length ball, pitching on off stump, Shimron Hetmyer plays an aggressive front foot flick for a single"
119,17.1,1, Jos Buttler,Glenn Maxwell ,"Short of good length ball, pitching outside off stump, Jos Buttler plays a defensive back foot push for a single"
120,16.6,0, Shimron Hetmyer,Josh Hazlewood ,"Short of good length ball, pitching on off stump, Shimron Hetmyer plays a defensive shot on back foot, no run"
121,16.5,W, Devdutt Padikkal,Josh Hazlewood ,"Short length ball, pitching outside leg stump, Devdutt Padikkal gets cramped for room and he plays an upper cut! The ball brushes his gloves and settles in the keeper's gloves! WICKET!! Devdutt Padikkal c Dinesh Karthik b Josh Hazlewood (Rajasthan Royals 148 Runs for 3 wickets)"
122,16.4,1, Jos Buttler,Josh Hazlewood ,"Short of good length ball, pitching outside off stump, Jos Buttler plays an aggressive pull shot on the back foot for a single"
123,16.3,4, Jos Buttler, Josh Hazlewood ,"Good length ball, pitching outside off stump, Jos Buttler moves across and scoops it on top of the head of short fine leg for 4 runs"
124,16.2,2, Jos Buttler,Josh Hazlewood ,"Short of good length ball, pitching outside off stump, Jos Buttler uncomfortably plays an aggressive pull shot on the back foot for 2 runs"
125,16.1,1, Devdutt Padikkal,Josh Hazlewood ,"Short of good length ball, pitching on off stump, Devdutt Padikkal glides it for a single"
126,15.6,6, Jos Buttler, Wanindu Hasaranga ,"Good length ball, pitching on off stump, Jos Buttler picks the wrong un and hammers humongously! 18 off 24 is needed now! "
127,15.5,0, Jos Buttler,Wanindu Hasaranga ,"Good length ball, pitching on off stump, Jos Buttler uncomfortably plays a defensive back foot push, no run"
128,15.4,6, Jos Buttler, Wanindu Hasaranga ,"Full length ball, pitching on off stump, Jos Buttler smokes this ball to the stands of long-off!"
129,15.3,0, Jos Buttler,Wanindu Hasaranga ,"Good length ball, pitching outside off stump, Jos Buttler plays an aggressive off drive on the back foot, straight to the fielder"
130,15.2,1, Devdutt Padikkal,Wanindu Hasaranga ,"Good length ball, pitching outside off stump, Devdutt Padikkal plays an aggressive on drive off the back foot for a single"
131,15.1,1, Jos Buttler,Wanindu Hasaranga ,"Good length ball, pitching on leg stump, Jos Buttler plays a defensive back foot push for a single"
132,14.6,1, Jos Buttler,Harshal Patel ,"Good length ball, pitching outside off stump, Jos Buttler plays an aggressive cover drive on the front foot for a single"
133,14.5,0, Jos Buttler,Harshal Patel ,"Short of good length ball, pitching outside off stump, Jos Buttler plays an aggressive cut shot and is beaten"
134,14.4,1, Devdutt Padikkal,Harshal Patel ,"Full length ball, pitching outside off stump, Devdutt Padikkal plays an aggressive cover drive on the front foot for a single"
135,14.3,1, Jos Buttler,Harshal Patel ,"Good length ball, pitching outside off stump, Jos Buttler plays an aggressive cover drive on the front foot for a single"
136,14.2,0, Jos Buttler,Harshal Patel ,"Short of good length ball, pitching outside off stump, Jos Buttler plays a defensive back foot push, no run"
137,14.1,1, Devdutt Padikkal,Harshal Patel ,"Short of good length ball, pitching on off stump, Devdutt Padikkal glides it for a single"
138,13.6,0, Jos Buttler,Glenn Maxwell ,"Short of good length ball, pitching outside off stump, Jos Buttler plays an aggressive off drive on the back foot, straight to the fielder"
139,13.5,2, Jos Buttler,Glenn Maxwell ,"Short of good length ball, pitching outside off stump, Jos Buttler plays an aggressive cover drive on the back foot for 2 runs"
140,13.4,1, Devdutt Padikkal,Glenn Maxwell ,"Short of good length ball, pitching on off stump, Devdutt Padikkal plays a defensive back foot push for a single"
141,13.3,1, Jos Buttler,Glenn Maxwell ,"Short of good length ball, pitching outside off stump, Jos Buttler plays an aggressive front foot flick for a single"
142,13.2,1, Devdutt Padikkal,Glenn Maxwell ,"Good length ball, pitching on off stump, Devdutt Padikkal plays a defensive forward push for a single"
143,13.1,0, Devdutt Padikkal,Glenn Maxwell ,"Good length ball, pitching on off stump, Devdutt Padikkal plays a defensive forward push, no run"
144,12.6,0, Jos Buttler,Josh Hazlewood ,"Short of good length ball, pitching outside off stump, Jos Buttler plays an aggressive square drive on back foot, straight to the fielder"
145,12.5,1, Devdutt Padikkal,Josh Hazlewood ,"Short of good length ball, pitching on leg stump, Devdutt Padikkal plays an aggressive cover drive on the back foot for a single"
146,12.4,1, Jos Buttler,Josh Hazlewood ,"Short of good length ball, pitching outside off stump, Jos Buttler plays a defensive back foot push for a single"
147,12.3,0, Jos Buttler,Josh Hazlewood ,"Short of good length ball, pitching outside off stump, Jos Buttler plays a defensive back foot push and is beaten"
148,12.2,1, Devdutt Padikkal,Josh Hazlewood ,"Short of good length ball, pitching on off stump, Devdutt Padikkal glides it for a single"
149,12.1,0, Devdutt Padikkal,Josh Hazlewood ,"Short of good length ball, pitching on off stump, Devdutt Padikkal glides it and is beaten"
150,11.6,0, Jos Buttler,Wanindu Hasaranga ,"Good length ball, pitching on leg stump, Jos Buttler plays an aggressive off drive on the front foot, straight to the fielder"
151,11.5,1, Devdutt Padikkal,Wanindu Hasaranga ,"Short of good length ball, pitching outside off stump, Devdutt Padikkal plays a defensive shot on back foot for a single"
152,11.3,0, Sanju Samson,Wanindu Hasaranga ,"Good length ball, pitching outside off stump, Sanju Samson plays a forward defensive shot, no run"
153,11.2,0, Sanju Samson,Wanindu Hasaranga ,"Good length ball, pitching outside off stump, Sanju Samson cuts it late, no run"
154,11.1,1, Jos Buttler,Wanindu Hasaranga ,"Good length ball, pitching on off stump, Jos Buttler steps down and plays an aggressive lofted on drive for a single"
155,10.6,1, Jos Buttler,Harshal Patel ,"Short of good length ball, pitching outside off stump, Jos Buttler plays a defensive back foot push for a single"
156,10.5,1, Sanju Samson,Harshal Patel ,"Short of good length ball, pitching outside off stump, Sanju Samson plays an aggressive pull shot on the back foot for a single"
157,10.4,6, Sanju Samson,Harshal Patel ,"Good length ball, pitching outside off stump, Sanju Samson stands tall and pounces the ball over deep mid-wicket!"
158,10.3,0, Sanju Samson,Harshal Patel ,"Short of good length ball, pitching outside off stump, Sanju Samson plays an aggressive cut shot and is beaten"
159,10.2,0, Sanju Samson,Harshal Patel ,"Good length ball, pitching outside off stump, Sanju Samson plays a defensive shot on back foot, no run"
160,10.1,1, Jos Buttler, Harshal Patel ,"Good length ball, pitching outside off stump, Jos Buttler edges the ball attempting a drive for the scrambled seam delivery! The ball carries to the keeper but he puts it down!"
161,9.6,0, Sanju Samson,Wanindu Hasaranga ,"Good length ball, pitching on leg stump, Sanju Samson plays a defensive back foot push, no run"
162,9.5,1, Jos Buttler,Wanindu Hasaranga ,"Good length ball, pitching on middle stump, Jos Buttler plays a defensive back foot push for a single"
163,9.4,1, Sanju Samson,Wanindu Hasaranga ,"Full length ball, pitching outside off stump, Sanju Samson plays an aggressive square drive on back foot for a single"
164,9.3,0, Sanju Samson,Wanindu Hasaranga ,"Full length ball, pitching outside off stump, Sanju Samson plays an aggressive cut shot, straight to the fielder"
165,9.2,0, Sanju Samson,Wanindu Hasaranga ,"Full length ball, pitching outside off stump, Sanju Samson plays a forward defensive shot, no run"
166,9.1,4, Sanju Samson,Wanindu Hasaranga ,"Good length ball, pitching outside off stump, Sanju Samson gets the rim for the cut and the ball races away to the ropes!"
167,8.6,0, Jos Buttler,Shahbaz Ahmed ,"Good length ball, pitching outside off stump, Jos Buttler plays an aggressive cover drive on the front foot, straight to the fielder"
168,8.5,4, Jos Buttler, Shahbaz Ahmed ,"Full length ball, pitching outside off stump, Jos Buttler slices the ball past the point fielder and another four!"
169,8.4,4, Jos Buttler,Shahbaz Ahmed ,"Good length ball, pitching outside off stump, Jos Buttler gets the outside edge for the cover drive and it goes for a four!"
170,8.3,1, Sanju Samson,Shahbaz Ahmed ,"Good length ball, pitching outside off stump, Sanju Samson plays an aggressive cover drive on the front foot for a single"
171,8.2,6, Sanju Samson, Shahbaz Ahmed ,"Good length ball, pitching on middle stump, Sanju Samson dances down the track and flays the ball away!"
172,8.1,1, Jos Buttler,Shahbaz Ahmed ,"Good length ball, pitching on leg stump, Jos Buttler plays a defensive back foot push for a single"
173,7.6,1, Jos Buttler,Wanindu Hasaranga ,"Full length ball, pitching outside leg stump, Jos Buttler plays an aggressive front foot flick for a single"
174,7.5,0, Jos Buttler,Wanindu Hasaranga ,"Good length ball, pitching outside off stump, Jos Buttler steps down and plays an aggressive on drive, straight to the fielder"
175,7.4,1, Sanju Samson,Wanindu Hasaranga ,"Good length ball, pitching outside off stump, Sanju Samson plays an aggressive off drive on the back foot for a single"
176,7.3,1, Jos Buttler,Wanindu Hasaranga ,"Good length ball, pitching outside off stump, Jos Buttler paddle sweeps it for a single"
177,7.2,1, Sanju Samson,Wanindu Hasaranga ,"Full length ball, pitching outside off stump, Sanju Samson plays an aggressive off drive on the front foot for a single"
178,7.1,0, Sanju Samson,Wanindu Hasaranga ,"Good length ball, pitching outside off stump, Sanju Samson plays a forward defensive shot, no run"
179,6.6,4, Jos Buttler,Harshal Patel ,"Full toss ball, outside leg stump, Jos Buttler steers the full toss past the diving short fine leg fielder for 4 runs"
180,6.5,0, Jos Buttler,Harshal Patel ,"Full length ball, pitching outside off stump, Jos Buttler plays an aggressive off drive on the front foot, straight to the fielder"
181,6.4,4, Jos Buttler, Harshal Patel ,"Full length ball, pitching outside off stump, Jos Buttler cracks this ball in the extra covers region and he gets his fifty!!"
182,6.3,1, Sanju Samson,Harshal Patel ,"Good length ball, pitching outside off stump, Sanju Samson plays an aggressive off drive on the front foot for a single"
183,6.2,1, Jos Buttler,Harshal Patel ,"Full toss ball, on off stump, Jos Buttler plays a defensive forward push for a single"
184,6.1,0, Jos Buttler,Harshal Patel ,"Good length ball, pitching outside off stump, Jos Buttler plays an aggressive off drive on the front foot and is beaten"
185,5.6,0, Sanju Samson,Josh Hazlewood ,"Good length ball, pitching outside off stump, Sanju Samson plays a forward defensive shot, no run"
186,5.5,1, Jos Buttler,Josh Hazlewood ,"Good length ball, pitching outside off stump, Jos Buttler plays a defensive forward push for a single"
187,5.4,4, Jos Buttler,Josh Hazlewood ,"Good length ball, pitching on off stump, Jos Buttler provides the face of the bat to guide the ball to mid-wicket boundary!"
188,5.3,1, Sanju Samson,Josh Hazlewood ,"Good length ball, pitching outside off stump, Sanju Samson plays an aggressive off drive on the front foot for a single"
